id,origin,content,actual_label,original_image_path
1,synthetic_legit,"Hey John, are we still on for lunch on July 2? Let me know what time works.",0,
2,synthetic_legit,Welcome to Netflix! Your subscription is now active. Enjoy unlimited streaming.,0,
3,synthetic_legit,"Thank you for shopping with Jollibee! Your order #97153 of PHP 12,500 will be delivered on Aug 5.",0,
4,synthetic_phishing,"Congratulations! You have been selected to win PHP 50,000 in the SM anniversary raffle. Claim your prize: http://unioalert.top/verify",1,
5,synthetic_legit,Here's your weekly newsletter from Smart: 5 tips to stay productive this week.,0,
6,synthetic_legit,"Hey John, are we still on for lunch on July 2? Let me know what time works.",0,
7,synthetic_phishing,Your e-wallet has been temporarily limited. Re-verify your account here to restore full access: http://unioalert.club/verify,1,
8,synthetic_phishing,Metrobank: We detected a login from a new device. Confirm your identity within 24 hours or your account will be locked: http://claim-prize-now.club/verify,1,
9,synthetic_legit,"Hi team, tomorrow's standup is moved to 10 AM. The agenda is in our shared doc. Thanks!",0,
10,synthetic_phishing,"Final notice: delivery failed. Update your address and settle the PHP 1,500 redelivery fee: http://www.account-update.tk/verify",1,
11,synthetic_legit,"Hey Grace, are we still on for lunch on June 18? Let me know what time works.",0,
12,synthetic_phishing,"Hi, we are hiring home-based staff. Earn PHP 2,999 daily just by liking videos. Message our HR on WhatsApp: +639751079911",1,
13,synthetic_phishing,"You have an unclaimed refund of PHP 12,500 from Smart. Confirm your bank details to receive it: https://gcash-verify.tk/verify",1,
14,synthetic_legit,Your Landbank OTP is 750810. Do not share this code with anyone. BPI will never ask for it.,0,
15,synthetic_legit,"Your Spotify account password was changed successfully. If this was you, no action is needed.",0,
16,synthetic_legit,"You spent PHP 1,500 at Jollibee on next Friday. Available balance: PHP 500. - RCBC",0,
17,synthetic_legit,"Hey Paolo, are we still on for lunch on Monday? Let me know what time works.",0,
18,synthetic_phishing,Microsoft Security Alert: Your computer is infected with a virus. Call our toll-free support +639814893252 immediately.,1,
19,synthetic_legit,"You spent PHP 2,999 at National Bookstore on tomorrow. Available balance: PHP 1,500. - PayMaya",0,
20,synthetic_legit,"You spent PHP 5,000 at Jollibee on Aug 5. Available balance: PHP 1,500. - PayMaya",0,
21,synthetic_phishing,We noticed a login attempt on your account. Reply with the OTP 787277 we just sent to cancel this request.,1,
22,synthetic_legit,"Hi team, tomorrow's standup is moved to 2:30 PM. The agenda is in our shared doc. Thanks!",0,
23,synthetic_phishing,We noticed a login attempt on your account. Reply with the OTP 262316 we just sent to cancel this request.,1,
24,synthetic_phishing,Microsoft Security Alert: Your computer is infected with a virus. Call our toll-free support +639105183473 immediately.,1,
25,synthetic_legit,"Hi team, tomorrow's standup is moved to 2:30 PM. The agenda is in our shared doc. Thanks!",0,
26,synthetic_phishing,Congratulations! You have been selected to win PHP 500 in the Lazada anniversary raffle. Claim your prize: http://bdo-secure.info/verify,1,
27,synthetic_phishing,We noticed a login attempt on your account. Reply with the OTP 398830 we just sent to cancel this request.,1,
28,synthetic_legit,"Your Netflix account password was changed successfully. If this was you, no action is needed.",0,
29,synthetic_legit,"Your Spotify account password was changed successfully. If this was you, no action is needed.",0,
30,synthetic_legit,Welcome to HBO Max! Your subscription is now active. Enjoy unlimited streaming.,0,
31,synthetic_phishing,URGENT: Your BDO account has been suspended due to unusual activity. Verify now to avoid permanent closure: http://account-update.top/verify,1,
32,synthetic_phishing,"Final notice: delivery failed. Update your address and settle the PHP 12,500 redelivery fee: https://gcash-verify.xyz/verify",1,
33,synthetic_phishing,"Dear Beneficiary, I am a barrister handling a deceased client's estate worth $12M. You are the next of kin. Contact me to claim your compensation.",1,
34,synthetic_phishing,"Hi, we are hiring home-based staff. Earn PHP 500 daily just by liking videos. Message our HR on WhatsApp: +639326773602",1,
35,synthetic_phishing,"Final notice: delivery failed. Update your address and settle the PHP 50,000 redelivery fee: https://account-update.top/verify",1,
36,synthetic_legit,Your Landbank OTP is 173372. Do not share this code with anyone. UnionBank will never ask for it.,0,
37,synthetic_phishing,"ALERT: an unauthorized transaction of PHP 500 was detected. If this wasn't you, secure your account immediately: http://www.secure-billing.info/verify",1,
38,synthetic_legit,Your PayMaya OTP is 960394. Do not share this code with anyone. Metrobank will never ask for it.,0,
39,synthetic_legit,"You spent PHP 500 at Jollibee on next Friday. Available balance: PHP 1,500. - PayMaya",0,
40,synthetic_legit,"Your Amazon Prime account password was changed successfully. If this was you, no action is needed.",0,
41,synthetic_phishing,Your Netflix subscription payment was declined. Update your billing details now to avoid losing access: http://www.unioalert.xyz/verify,1,
42,synthetic_phishing,We noticed a login attempt on your account. Reply with the OTP 665579 we just sent to cancel this request.,1,
43,synthetic_phishing,Your Shopee parcel is on hold. A customs fee of PHP 999 is required to release it. Pay here: https://lbc-redelivery.info/verify,1,
44,synthetic_phishing,Your HBO Max subscription payment was declined. Update your billing details now to avoid losing access: https://claim-prize-now.online/verify,1,
45,synthetic_legit,You spent PHP 350 at National Bookstore on July 2. Available balance: PHP 500. - RCBC,0,
46,synthetic_legit,"Hi team, tomorrow's standup is moved to 3:00 PM. The agenda is in our shared doc. Thanks!",0,
47,synthetic_legit,Reminder: your appointment with Dr. Garcia is on next Friday at 4 PM. Please arrive 10 minutes early.,0,
